ID,Date,Balance2,Value
ENTEL,2024-06-30,Debt,-2154501.221
ENTEL,2024-09-30,Cash,-502542.245
ENTEL,2024-09-30,Debt,-2090051.675
ENTEL,2024-12-31,Cash,-382568.843
ENTEL,2024-12-31,Debt,-2017952.9030000002
ENTEL,2025-03-31,Cash,-346452.39
ENTEL,2025-03-31,Debt,-1992100.8569999998
ENTEL,2025-06-30,Cash,-344749.071
ENTEL,2025-06-30,Debt,-2032341.182
ENTEL,2025-09-30,Cash,-317396.688
ENTEL,2025-09-30,Debt,-1692335.5150000001
IAM,2017-03-31,Cash,61153.002
IAM,2017-03-31,Debt,859665.506
IAM,2017-06-30,Cash,6501.671
IAM,2017-06-30,Debt,871671.329
IAM,2017-09-30,Cash,14610.325
IAM,2017-09-30,Debt,869730.3790000001
IAM,2017-12-31,Cash,19803.208
IAM,2017-12-31,Debt,866023.519
IAM,2018-03-31,Cash,32744.430999999997
IAM,2018-03-31,Debt,897554.0819999999
IAM,2018-06-30,Cash,40248.457
IAM,2018-06-30,Debt,963866.355
IAM,2018-09-30,Cash,43272.121999999996
IAM,2018-09-30,Debt,972618.764
IAM,2018-12-31,Cash,41087.276
IAM,2018-12-31,Debt,946476.495
IAM,2019-03-31,Cash,37781.9
IAM,2019-03-31,Debt,976695.9739999999
IAM,2019-06-30,Cash,20142.984
IAM,2019-06-30,Debt,1033795.406
IAM,2019-09-30,Cash,35489.035
IAM,2019-09-30,Debt,1028959.667
IAM,2019-12-31,Cash,73057.118
IAM,2019-12-31,Debt,1042798.719
IAM,2020-03-31,Cash,135929.701
IAM,2020-03-31,Debt,1140558.559
IAM,2020-06-30,Cash,169265.579
IAM,2020-06-30,Debt,1153579.811
IAM,2020-09-30,Cash,188247.278
IAM,2020-09-30,Debt,1066112.82
IAM,2020-12-31,Cash,177964.853
IAM,2020-12-31,Debt,1069794.256
IAM,2021-03-31,Cash,188039.90099999998
IAM,2021-03-31,Debt,1079749.0350000001
IAM,2021-06-30,Cash,137927.958
IAM,2021-06-30,Debt,1082065.862
IAM,2021-09-30,Cash,191407.217
IAM,2021-09-30,Debt,1109354.828
IAM,2021-12-31,Cash,164558.88
IAM,2021-12-31,Debt,1153099.411
IAM,2022-03-31,Cash,148271.337
IAM,2022-03-31,Debt,1163367.8059999999
IAM,2022-06-30,Cash,148442.598
IAM,2022-06-30,Debt,1187277.425
IAM,2022-09-30,Cash,170729.549
IAM,2022-09-30,Debt,1237559.2179999999
IAM,2022-12-31,Cash,180545.868
IAM,2022-12-31,Debt,1297253.126
IAM,2023-03-31,Cash,200117.634
IAM,2023-03-31,Debt,1293611.449
IAM,2023-06-30,Cash,167186.1
IAM,2023-06-30,Debt,1293778.563
IAM,2023-09-30,Cash,154348.526
IAM,2023-09-30,Debt,1273585.203
IAM,2023-12-31,Cash,110795.41
IAM,2023-12-31,Debt,1280477.698
IAM,2024-03-31,Cash,101132.758
IAM,2024-03-31,Debt,1278349.317
IAM,2024-06-30,Cash,109769.506
IAM,2024-06-30,Debt,1344046.5890000002
IAM,2024-09-30,Cash,83390.708
IAM,2024-09-30,Debt,1319555.47
IAM,2024-12-31,Cash,109990.875
IAM,2024-12-31,Debt,1322217.0380000002
IAM,2025-03-31,Cash,189843.83299999998
IAM,2025-03-31,Debt,1432070.651
IAM,2025-06-30,Cash,187884.085
IAM,2025-06-30,Debt,1429838.007
INVERCAP,2017-03-31,Cash,4857.2978
INVERCAP,2017-03-31,Debt,40799.313539999996
INVERCAP,2017-06-30,Cash,2863.0775700000004
INVERCAP,2017-06-30,Debt,34611.60348
INVERCAP,2017-09-30,Cash,2267.186
INVERCAP,2017-09-30,Debt,33939.010200000004
INVERCAP,2017-12-31,Cash,4063.5281
INVERCAP,2017-12-31,Debt,33173.89284
INVERCAP,2018-03-31,Cash,3528.6657999999998
INVERCAP,2018-03-31,Debt,32734.27658
INVERCAP,2018-06-30,Cash,3401.7375
